state,total_population,pwd_population,pwd_percent
SIKKIM,610577,18187,2.978657892452549
ODISHA,41974218,1244402,2.964681795858591
JAMMU & KASHMIR,12541302,361153,2.8797089807740854
ANDHRA PRADESH,84580777,2266607,2.6798134048827666
MAHARASHTRA,112374333,2963392,2.6370719370587943
LAKSHADWEEP,64473,1615,2.5049245420563646
CHHATTISGARH,25545198,624937,2.4463971663089086
PUDUCHERRY,1247953,30189,2.419081487844494
PUNJAB,27743338,654063,2.3575497656410342
JHARKHAND,32988134,769980,2.3341120173696397
RAJASTHAN,68548437,1563694,2.281151939321388
KERALA,33406061,761843,2.280553220566771
GOA,1458545,33012,2.2633514906979215
HIMACHAL PRADESH,6864602,155316,2.2625638019509364
BIHAR,104099452,2331009,2.23921351670516
WEST BENGAL,91276115,2017406,2.21022334265651
KARNATAKA,61095297,1324205,2.1674417917961835
HARYANA,25351462,546374,2.1551972032224413
MADHYA PRADESH,72626809,1551931,2.136856928410554
UTTAR PRADESH,199812341,4157514,2.0807093191506127
MANIPUR,2855794,58547,2.0501128582803942
ARUNACHAL PRADESH,1383727,26734,1.9320284998413706
UTTARAKHAND,10086292,185272,1.8368692875439259
GUJARAT,60439692,1092302,1.8072593751801382
TRIPURA,3673917,64346,1.751427699645909
ANDAMAN & NICOBAR ISLANDS,380581,6660,1.749955988344137
TAMIL NADU,72147030,1179963,1.6354976774511716
ASSAM,31205576,480065,1.5383949330081266
NAGALAND,1978502,29631,1.4976482207245683
MEGHALAYA,2966889,44317,1.493719515627312
CHANDIGARH,1055450,14796,1.4018665024397177
NCT OF DELHI,16787941,234882,1.3991114217044247
MIZORAM,1097206,15160,1.3816913141196823
DADRA & NAGAR HAVELI,343709,3294,0.9583688527213428
DAMAN & DIU,243247,2196,0.9027860569708979
